fold_id,train_start,train_end,test_start,test_end,n_train,n_test,up_mdn_rmse,up_mdn_mae,up_mdn_nll,up_naive_rmse,up_naive_mae,dn_mdn_rmse,dn_mdn_mae,dn_mdn_nll,dn_naive_rmse,dn_naive_mae
1,2018-03-01,2019-02-28,2019-03-06,2019-05-31,23100,6100,0.027791529180543156,0.018570544198155403,1.4633238315582275,0.03265478548824636,0.022101408783703654,0.027620948758956574,0.0194157212972641,1.4515104293823242,0.032159546283452634,0.02159000662765109
2,2018-06-01,2019-05-31,2019-06-06,2019-08-31,25100,6100,0.02689691618018113,0.018698718398809433,1.518157958984375,0.033059655764501435,0.02368196075802994,0.028578364620030612,0.02025686949491501,1.4774008989334106,0.032233117362122345,0.0219430196845917
3,2018-09-01,2019-08-31,2019-09-06,2019-11-30,25000,6000,0.02657742265205554,0.018038544803857803,1.4831146001815796,0.03271313226790516,0.022388347689492244,0.02564062324084567,0.01763114333152771,1.2957082986831665,0.027475766898151642,0.0187092793070282
4,2018-12-01,2019-11-30,2019-12-06,2020-02-29,25000,5700,0.03153784255544986,0.02056511864066124,1.6299458742141724,0.03761912992780933,0.02483206821800945,0.039187659976638776,0.02454294264316559,1.8282907009124756,0.04382505635852101,0.026688049054037516
5,2019-03-01,2020-02-29,2020-03-06,2020-05-31,25200,5900,0.09460341914399015,0.07720186561346054,11.858596801757812,0.0968524120746516,0.0657448629876172,0.08823077554438731,0.06689762324094772,22.086349487304688,0.0824565324162672,0.05354698903156347
6,2019-06-01,2020-05-31,2020-06-06,2020-08-31,25100,6000,0.037683684218262396,0.025451695546507835,1.625001311302185,0.04664706356131641,0.031781339583366694,0.03490402388144416,0.024464914575219154,1.5496134757995605,0.037915276901561316,0.02538894867145973
7,2019-09-01,2020-08-31,2020-09-06,2020-11-30,25200,5900,0.0464646988987118,0.030183427035808563,1.6484813690185547,0.05649821625378445,0.03758345523955209,0.03675124881043359,0.02568734437227249,1.5659868717193604,0.03781303953863243,0.026690221090635315
8,2019-12-01,2020-11-30,2020-12-06,2021-02-28,25200,5600,0.03736582254111677,0.025933437049388885,1.3630222082138062,0.044885642374844374,0.030310607333876253,0.03597957264290917,0.023968232795596123,1.3951635360717773,0.03488808831116706,0.02539839779687814
9,2020-03-01,2021-02-28,2021-03-06,2021-05-31,25100,5900,0.030278113219437724,0.021222684532403946,1.1680160760879517,0.03613689958121623,0.026229702670664712,0.028871984768770925,0.021121062338352203,1.301289439201355,0.030614707726198707,0.02078396819645774
10,2020-06-01,2021-05-31,2021-06-06,2021-08-31,25200,6100,0.02716365968920114,0.01886802725493908,1.2694629430770874,0.03302196764388143,0.022279339289663885,0.025622682902782884,0.018063955008983612,1.3330917358398438,0.028651202641544953,0.019232049571541003
11,2020-09-01,2021-08-31,2021-09-06,2021-11-30,25200,6000,0.03109162401234799,0.02147006243467331,1.5154860019683838,0.03701864122783673,0.024684736748406672,0.02933961313976264,0.020482711493968964,1.5869026184082031,0.03399112249005601,0.02410113870733282
12,2020-12-01,2021-11-30,2021-12-06,2022-02-28,25200,5800,0.03762673207388131,0.0268548671156168,1.827327013015747,0.043869438530580084,0.02959187403865426,0.03860883427155992,0.027200985699892044,1.9227476119995117,0.047033127759729156,0.033498418622177645
15,2021-09-01,2022-08-31,2022-09-06,2022-11-30,25200,6100,0.04069124824187105,0.02908891811966896,1.655462622642517,0.051660668553047344,0.0369305080130731,0.03991089053867894,0.02922450564801693,1.5869524478912354,0.04614687858889156,0.03264294092401005
16,2021-12-01,2022-11-30,2022-12-06,2023-02-28,25200,5700,0.03445407877464727,0.023280832916498184,1.3370559215545654,0.04154391681226132,0.027842743504802536,0.029657189642666434,0.022245900705456734,1.2381985187530518,0.03398193879923986,0.024607031997913285
17,2022-03-01,2023-02-28,2023-03-06,2023-05-31,25100,6100,0.032095427375615916,0.02166362851858139,1.2950913906097412,0.03844664017202512,0.026407338845378422,0.029739229173508384,0.021180860698223114,1.2958016395568848,0.033069169614510806,0.023041435430375595
18,2022-06-01,2023-05-31,2023-06-06,2023-08-31,25100,6100,0.027966646436351536,0.019250353798270226,1.28389310836792,0.03431545456427583,0.023771317108739972,0.025739273981285466,0.018510637804865837,1.2427403926849365,0.028558653591513286,0.020073761805454778
19,2022-09-01,2023-08-31,2023-09-06,2023-11-30,25100,6100,0.029334783863147956,0.021164005622267723,1.440282940864563,0.03553553671733731,0.024559894656248332,0.027649079463439,0.020313380286097527,1.4785808324813843,0.031845162414106204,0.022613214015241953
